Team Name,Offensive Touchdowns,Yards Per Play,Yards Per Completion,Yards Per Attempt,Yards Per Rush,Red Zone Efficiency,Goal To Go Efficiency,Total First Downs,3rd Down Efficiency,4th Down Efficiency,Turnover Rate,Sack Rate
NO,3,5.2,8.393,6.5,3.97,0.75,0.75,25,0.538,0.5,0.029,0.014
ATL,0,6.2,10.81,6.5,5.867,0.0,0.0,14,0.364,0.0,0.02,0.02
CIN,4,6.0,10.545,7.5,4.548,1.0,1.0,24,0.538,0.0,0.016,0.0
CAR,3,5.4,8.8,5.4,5.345,0.667,0.667,24,0.5,0.333,0.014,0.0
LA,1,5.6,10.15,7.0,4.577,0.25,0.5,21,0.455,0.0,0.034,0.052
CHI,3,4.9,7.824,5.8,4.679,0.5,1.0,17,0.333,0.0,0.0,0.056
MIN,4,5.8,12.7,9.1,3.529,0.6,1.0,22,0.364,0.0,0.047,0.031
GB,4,6.3,11.844,7.0,4.526,0.8,1.0,24,0.333,0.0,0.054,0.014
JAC,2,5.4,8.611,4.7,6.583,0.667,0.5,17,0.333,0.0,0.0,0.017
HOU,3,6.4,12.37,8.4,3.885,0.75,1.0,26,0.538,0.0,0.015,0.029
PIT,3,5.9,12.818,8.3,4.067,0.75,1.0,23,0.462,0.0,0.029,0.059
IND,3,5.6,11.842,7.5,4.156,0.6,1.0,22,0.533,0.0,0.0,0.031
DEN,1,3.3,5.0,2.4,4.065,1.0,0.0,12,0.214,0.0,0.018,0.0
NYJ,0,3.5,7.667,4.4,2.783,0.0,0.0,16,0.235,0.0,0.014,0.071
PHI,2,4.1,6.333,3.8,5.65,0.667,1.0,16,0.462,0.5,0.036,0.107
TB,4,6.0,11.133,7.1,4.44,0.667,0.75,29,0.462,1.0,0.0,0.027
WAS,5,6.7,8.962,7.8,5.838,0.8,1.0,29,0.75,1.0,0.015,0.0
ARZ,2,5.1,7.188,5.2,5.656,1.0,1.0,17,0.364,0.667,0.017,0.069
NE,1,3.5,7.526,4.5,3.042,0.5,0.0,12,0.312,0.333,0.048,0.097
SF,2,7.2,18.867,10.5,4.625,0.5,0.5,19,0.538,0.0,0.033,0.017
CLE,1,4.2,6.208,4.7,4.182,0.5,1.0,16,0.3,0.0,0.018,0.053
LV,2,4.9,8.286,4.8,5.241,0.667,1.0,17,0.333,0.0,0.018,0.036
KC,2,5.7,12.0,7.9,3.885,0.5,1.0,16,0.562,0.0,0.034,0.052
LAC,1,4.2,10.562,6.3,2.292,0.5,1.0,12,0.308,0.0,0.0,0.038
BUF,1,4.1,9.118,5.0,3.522,0.5,1.0,12,0.231,1.0,0.018,0.053
BAL,4,7.9,11.143,8.2,7.971,1.0,1.0,22,0.556,0.0,0.019,0.019
TEN,2,3.9,8.5,4.9,3.55,0.667,0.667,16,0.167,1.0,0.016,0.016
MIA,1,3.4,5.571,3.5,3.533,1.0,1.0,13,0.167,0.333,0.019,0.037
SEA,4,6.6,10.079,6.8,7.0,0.75,0.75,38,0.5,0.5,0.026,0.038
DET,6,7.8,14.368,14.4,4.143,1.0,1.0,21,0.5,0.0,0.0,0.06
TB,3,6.5,9.105,7.2,6.154,0.667,1.0,21,0.545,0.0,0.02,0.02
ATL,4,6.8,11.357,8.1,4.056,0.5,0.0,28,0.429,0.667,0.012,0.049
NYJ,2,3.6,7.517,4.0,2.571,0.667,1.0,17,0.294,0.0,0.042,0.042
MIN,1,3.8,11.4,5.3,2.733,1.0,1.0,17,0.308,0.0,0.03,0.061
CAR,1,5.0,7.818,4.9,6.316,0.0,0.0,14,0.25,0.333,0.052,0.069
CHI,5,6.1,14.8,10.2,3.282,0.75,0.75,24,0.364,0.0,0.0,0.014
BAL,5,6.8,13.269,8.2,5.147,0.833,0.8,30,0.667,1.0,0.013,0.013
CIN,5,6.8,12.367,9.5,3.087,1.0,1.0,23,0.571,0.0,0.015,0.046
BUF,2,4.7,14.0,4.2,5.357,0.333,0.5,16,0.214,1.0,0.0,0.017
HOU,2,6.3,11.821,8.7,3.357,0.5,0.0,18,0.5,0.0,0.03,0.015
IND,4,6.5,10.235,7.7,4.95,0.6,1.0,25,0.5,1.0,0.014,0.058
JAC,4,8.7,13.25,10.9,5.478,0.5,1.0,20,0.3,0.5,0.035,0.0
MIA,1,5.0,9.944,5.8,4.707,0.5,1.0,24,0.182,0.0,0.027,0.04
NE,1,5.4,8.222,4.4,7.947,0.0,0.0,15,0.308,0.0,0.0,0.036
CLE,1,3.6,6.75,3.7,4.522,0.5,0.0,12,0.077,0.667,0.017,0.119
WAS,4,6.7,14.6,7.8,6.324,0.5,0.667,19,0.471,1.0,0.031,0.046
LV,2,5.1,9.773,5.8,4.6,0.5,0.5,20,0.467,0.0,0.046,0.046
DEN,3,5.0,9.474,6.7,3.893,0.75,1.0,18,0.25,1.0,0.0,0.052
ARZ,2,6.3,9.947,6.3,6.5,0.333,1.0,19,0.3,1.0,0.018,0.018
SF,1,6.1,12.158,6.6,5.885,0.167,0.2,22,0.545,0.0,0.048,0.032
GB,3,5.7,13.467,7.8,4.2,0.667,1.0,19,0.125,0.0,0.017,0.034
LA,2,4.9,8.138,5.2,4.786,0.667,0.667,24,0.5,0.5,0.026,0.039
NYG,2,5.9,10.652,7.2,5.147,0.25,0.5,24,0.438,0.0,0.014,0.042
SEA,1,5.7,8.25,5.8,9.273,1.0,1.0,17,0.273,0.0,0.017,0.121
DAL,2,5.9,11.586,8.0,3.516,0.25,1.0,25,0.6,1.0,0.04,0.027
PIT,2,4.0,8.375,4.8,3.538,1.0,1.0,17,0.25,1.0,0.018,0.053
NO,2,4.3,8.7,5.0,3.067,1.0,1.0,14,0.4,0.0,0.02,0.02
KC,2,5.8,11.464,8.2,3.564,0.286,0.667,28,0.429,1.0,0.012,0.025
SF,4,7.9,14.167,9.1,6.909,0.6,0.5,21,0.417,0.0,0.0,0.0
SEA,2,4.9,10.2,5.9,2.6,0.667,0.667,22,0.438,0.667,0.041,0.014
JAC,2,4.6,8.75,5.8,3.4,0.667,0.5,17,0.467,1.0,0.033,0.067
CHI,5,6.1,9.609,7.6,5.241,1.0,1.0,25,0.455,1.0,0.016,0.049
WAS,2,5.4,10.542,7.2,2.889,0.667,1.0,18,0.333,1.0,0.0,0.054
BAL,3,7.4,15.4,11.8,4.757,0.75,1.0,28,0.6,0.0,0.015,0.031
ARZ,1,5.5,9.727,6.7,3.87,0.333,1.0,16,0.4,0.0,0.055,0.0
GB,4,6.2,11.727,8.1,4.711,0.5,1.0,27,0.583,1.0,0.014,0.0
HOU,5,5.9,8.8,5.5,6.857,1.0,1.0,20,0.364,0.0,0.016,0.032
NE,3,4.6,10.45,6.3,3.154,1.0,1.0,17,0.231,1.0,0.063,0.063
TB,6,8.3,13.208,8.8,7.914,0.8,1.0,31,0.6,0.0,0.042,0.014
NO,2,4.6,10.091,5.6,3.857,0.5,1.0,19,0.308,1.0,0.045,0.076
CLE,0,4.6,9.0,6.3,4.0,0.0,0.0,14,0.25,1.0,0.0,0.094
PHI,2,6.0,16.0,10.2,3.222,0.0,0.0,19,0.357,1.0,0.0,0.016
IND,2,4.1,8.591,5.0,2.857,0.333,0.0,20,0.467,1.0,0.015,0.0
TEN,2,4.4,5.938,3.5,5.214,1.0,1.0,16,0.364,1.0,0.018,0.0
LAC,2,4.7,10.571,6.5,3.368,0.333,0.0,22,0.611,0.0,0.0,0.04
DEN,2,6.0,10.842,6.2,6.111,1.0,1.0,17,0.273,1.0,0.038,0.038
PIT,3,4.7,7.857,4.6,5.229,0.5,0.333,18,0.308,1.0,0.0,0.048
LV,2,4.6,8.074,5.5,3.0,0.667,0.5,16,0.182,0.333,0.05,0.017
ATL,4,6.2,11.842,7.5,5.211,0.5,0.6,25,0.5,0.0,0.015,0.0
CAR,2,5.4,8.5,5.8,4.75,0.667,0.0,21,0.455,0.0,0.032,0.0
DET,5,7.5,16.211,11.4,5.111,0.6,0.667,27,0.4,0.5,0.0,0.045
DAL,0,3.9,7.92,4.5,3.118,0.0,0.0,16,0.231,0.25,0.077,0.062
CIN,2,5.8,9.632,6.5,6.05,0.0,0.0,13,0.364,0.0,0.019,0.077
NYG,1,4.2,8.636,4.6,3.839,0.5,1.0,24,0.333,0.6,0.014,0.027
BUF,3,6.0,11.053,8.4,4.515,0.75,0.667,24,0.455,0.0,0.0,0.033
NYJ,2,6.7,11.826,7.8,5.762,0.25,0.5,20,0.333,0.0,0.017,0.051
DEN,2,6.4,10.25,6.3,6.429,0.667,1.0,22,0.364,0.0,0.016,0.0
NO,1,4.1,6.214,4.5,4.619,0.5,0.0,15,0.294,0.75,0.03,0.091
NE,2,5.5,9.885,6.9,2.533,1.0,0.0,17,0.5,0.0,0.0,0.037
JAC,3,6.2,12.867,9.7,4.385,0.6,0.75,23,0.6,0.0,0.0,0.0
SEA,3,6.1,12.421,8.1,3.962,0.5,0.0,20,0.364,1.0,0.0,0.018
ATL,2,5.2,8.56,5.9,4.844,1.0,0.0,22,0.533,1.0,0.042,0.042
TEN,1,4.3,8.0,5.0,3.708,0.333,0.0,18,0.375,0.5,0.03,0.045
BUF,4,7.2,15.0,9.5,3.7,0.667,1.0,18,0.3,0.0,0.0,0.019
CIN,2,4.2,10.933,6.6,2.36,1.0,0.0,12,0.154,0.0,0.0,0.057
CLE,2,4.4,8.355,5.0,3.667,1.0,1.0,18,0.421,0.5,0.026,0.052
HOU,2,3.4,5.5,2.6,4.303,0.5,1.0,15,0.308,0.0,0.0,0.069
GB,3,4.9,8.125,5.9,4.1,1.0,1.0,18,0.4,0.0,0.054,0.054
MIA,1,5.0,9.933,5.7,4.7,0.333,1.0,18,0.4,0.0,0.029,0.029
IND,1,4.7,12.9,5.4,4.189,0.333,0.333,16,0.308,0.0,0.016,0.0
DET,4,7.0,11.227,9.9,5.333,1.0,0.0,19,0.4,0.0,0.018,0.071
MIN,2,7.4,11.091,9.0,6.619,0.0,0.0,16,0.4,0.0,0.019,0.077
PHI,4,5.2,7.0,4.7,5.978,1.0,1.0,20,0.077,1.0,0.0,0.077
NYG,0,2.2,2.529,1.5,4.222,0.0,0.0,10,0.214,0.0,0.0,0.145
LV,0,4.2,9.286,4.4,4.207,0.0,0.0,20,0.2,1.0,0.053,0.027
LA,2,5.0,10.286,6.3,4.107,0.667,1.0,15,0.2,0.0,0.019,0.019
CAR,1,4.2,6.538,4.7,4.13,1.0,1.0,10,0.3,0.0,0.047,0.047
WAS,3,6.7,10.35,8.3,5.784,0.5,0.5,26,0.5,0.0,0.0,0.016
KC,4,4.8,9.062,5.4,4.718,0.8,1.0,22,0.571,0.5,0.029,0.029
SF,2,5.5,12.294,6.7,4.208,0.5,0.667,19,0.182,1.0,0.054,0.018
NYJ,2,5.9,11.208,6.9,3.6,0.667,1.0,17,0.3,0.5,0.036,0.018
PIT,4,6.2,16.25,9.0,4.139,0.667,0.667,21,0.357,1.0,0.0,0.015
BAL,5,9.4,15.529,12.0,8.133,0.8,0.667,22,0.375,1.0,0.019,0.037
TB,4,6.2,11.484,7.9,4.167,0.6,0.333,28,0.647,1.0,0.026,0.038
LAC,0,6.2,12.444,8.6,2.682,0.0,0.0,20,0.429,1.0,0.031,0.047
ARZ,2,5.9,10.357,5.6,6.241,0.5,1.0,22,0.286,0.0,0.018,0.0
MIN,2,5.5,11.778,8.5,2.909,0.5,0.667,17,0.286,0.0,0.0,0.06
LA,4,5.8,11.16,8.2,3.344,1.0,1.0,26,0.4,1.0,0.015,0.0
PHI,4,6.7,14.75,11.8,4.128,0.6,1.0,24,0.545,1.0,0.0,0.0
CIN,2,4.8,8.538,6.0,2.9,0.667,1.0,18,0.769,0.0,0.034,0.017
BAL,3,6.2,11.435,6.9,5.905,0.75,1.0,22,0.2,0.0,0.0,0.048
CLE,3,6.1,11.889,7.8,3.478,0.0,0.0,22,0.533,0.0,0.015,0.03
TEN,2,5.9,11.727,6.8,4.938,0.5,0.5,23,0.273,0.5,0.056,0.014
DET,6,4.8,4.067,3.2,6.833,1.0,1.0,17,0.333,0.0,0.0,0.085
IND,2,4.8,14.0,4.4,6.269,0.5,0.5,17,0.154,1.0,0.032,0.079
HOU,2,5.3,10.68,7.2,3.31,0.333,0.5,21,0.308,0.0,0.015,0.029
GB,3,6.3,14.0,9.3,4.359,0.333,0.5,22,0.273,0.0,0.015,0.015
JAC,3,7.0,14.238,9.3,3.957,1.0,1.0,19,0.111,1.0,0.036,0.018
ARZ,3,6.3,11.808,8.5,3.154,0.667,1.0,22,0.538,0.0,0.0,0.0
MIA,3,5.9,8.107,6.0,6.0,0.75,1.0,22,0.733,0.0,0.0,0.016
NYJ,3,5.9,13.176,8.0,4.0,0.6,1.0,22,0.4,0.0,0.0,0.018
NE,3,3.9,7.556,4.5,3.613,0.75,0.5,19,0.467,1.0,0.0,0.032
ATL,4,6.6,11.522,9.1,4.448,1.0,1.0,20,0.5,1.0,0.0,0.033
TB,3,6.0,8.919,6.6,4.636,1.0,1.0,24,0.643,0.5,0.042,0.0
NO,0,5.4,11.318,5.9,5.571,0.0,0.0,15,0.125,1.0,0.0,0.074
LAC,3,5.9,12.8,8.0,4.207,0.667,1.0,19,0.25,0.0,0.0,0.047
BUF,4,6.4,11.708,8.3,4.824,0.667,0.667,29,0.533,1.0,0.014,0.014
SEA,1,5.0,9.571,6.9,1.882,0.333,0.333,17,0.143,0.0,0.043,0.021
CAR,2,4.7,8.958,5.7,3.45,0.667,1.0,16,0.357,0.25,0.033,0.033
DEN,4,5.5,9.933,7.6,3.188,0.8,1.0,23,0.647,0.5,0.027,0.027
KC,3,4.9,9.333,6.6,2.828,0.75,0.75,23,0.75,0.0,0.015,0.015
LV,2,4.1,8.125,6.5,1.571,0.5,0.333,15,0.462,0.5,0.018,0.089
CHI,2,5.1,10.5,4.4,6.121,0.5,0.5,15,0.167,0.0,0.017,0.05
WAS,1,6.7,14.905,8.2,5.25,0.0,0.0,23,0.333,0.0,0.0,0.028
DAL,3,4.9,9.44,6.2,2.947,0.667,1.0,18,0.333,0.5,0.034,0.034
SF,3,7.3,13.667,9.5,6.194,0.75,0.75,19,0.5,0.0,0.0,0.031
NYG,1,5.9,9.875,6.2,6.28,0.0,0.0,17,0.333,1.0,0.03,0.06
PIT,1,6.8,12.95,9.3,5.387,0.0,0.0,20,0.462,0.0,0.016,0.063
HOU,1,4.3,12.273,4.4,5.194,0.25,0.5,21,0.353,1.0,0.013,0.107
NYJ,3,5.3,8.773,6.0,4.762,0.667,0.0,17,0.417,1.0,0.018,0.036
DAL,2,5.1,7.774,4.8,6.524,0.667,1.0,23,0.231,0.2,0.0,0.041
ATL,4,5.5,11.053,8.8,3.333,1.0,1.0,17,0.308,1.0,0.018,0.036
DEN,1,4.7,9.85,5.8,4.067,0.25,0.333,20,0.429,0.2,0.015,0.059
BAL,5,7.3,16.812,14.2,3.735,0.667,1.0,25,0.375,0.0,0.0,0.019
MIA,3,6.2,8.96,8.0,4.806,0.75,1.0,26,0.5,1.0,0.017,0.017
BUF,3,5.5,9.24,5.9,4.947,0.4,1.0,24,0.5,1.0,0.017,0.017
NO,2,5.8,12.778,7.2,4.805,0.5,1.0,25,0.333,0.667,0.0,0.014
CAR,3,4.9,10.375,6.4,3.478,1.0,1.0,15,0.4,0.0,0.02,0.02
LV,2,3.7,7.476,4.8,2.857,1.0,1.0,16,0.385,0.0,0.034,0.085
CIN,5,5.3,9.0,6.2,4.194,0.8,0.8,26,0.533,1.0,0.014,0.014
LAC,4,6.1,13.667,9.1,4.174,1.0,1.0,13,0.357,1.0,0.0,0.107
CLE,1,3.8,8.192,4.6,3.292,0.333,0.0,21,0.353,0.667,0.039,0.079
WAS,3,6.0,13.933,9.5,3.921,0.5,0.5,21,0.417,1.0,0.0,0.0
NYG,3,5.5,8.1,6.2,5.29,0.667,1.0,25,0.545,1.0,0.017,0.034
NE,2,4.5,6.379,4.5,5.5,1.0,1.0,20,0.273,1.0,0.046,0.062
TEN,2,5.5,11.65,7.1,4.282,0.4,0.5,24,0.438,0.0,0.014,0.014
